Timestep, Average Length, Average Reward, Std
0,118.1,118.95278211361786,9.90625050905761
50,50.0,72.84917771988162,1.4760672709947165
100,52.3,75.66224040494342,4.99014587698304
150,59.8,98.56526637241494,39.56342028569159
200,58.3,99.65572514364018,33.86714899150335
250,39.4,54.27305795084912,2.351842894930686
300,40.8,57.53526201944423,10.660947360047658
350,55.3,89.67979053374164,34.18958594618783
400,86.9,170.40607919385323,24.782472170083174
450,83.3,156.18147419118776,3.807356963146677
500,78.7,140.3914350599499,2.9969083471805145
550,76.7,134.59719222884348,2.6821857787546652
600,74.7,125.65351779155876,1.7225512235748366
650,70.4,117.3061794126041,1.41732836945398
700,68.0,112.99676491246358,0.8203432728101672
750,68.5,114.0700982188303,0.9863599296310531
800,100.5,245.91818370733554,191.35299308736285
850,65.4,111.21185794384908,1.1700825498229952
900,146.1,423.1634190259998,195.5892723189488
950,185.8,579.0741497314439,15.958151618358988
1000,181.7,562.5495405635927,23.524952209067656
1050,173.2,527.1294896030277,32.54991347422288
