,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,1.7947874527704,1.6506716263690724,2.6488842737974685,1.6327818705258115,1.6384359003025186,1.2757428332215008,0
1,-23.333464521398298,-23.39559360550304,-23.344588899391102,-23.247832237226888,-24.956628048360386,-23.371307992794655,2000
2,-6.178739584429069,-6.8415407373427755,-6.057306744477638,-5.916604224810735,-8.12955376193673,-10.583181304028678,3000
3,-3.700793378204224,-3.5450181218452324,-3.8551029997132074,-3.59045554902352,-4.313519951227621,-3.7594444428307376,4000
4,-40.66757141533488,-43.76419715601524,-42.2115599276135,-44.87997720317038,-36.59227168238404,-40.50782596526964,5000
5,-0.05731638096868484,-0.07834371149722348,0.12425041498894365,-0.5898266307139179,-0.07284595806200975,-0.04120996173634424,6000
6,-29.56583744756618,-28.80009194117683,-24.092208561492917,-29.008327011046397,-26.18431258200332,-25.08512378376032,7000
7,-65.47976189553955,-69.88374032680038,-74.85782261856139,-61.91071677929918,-90.41392108074619,-46.269572700537665,8000
8,1.5654083862342447,-11.055450178399578,3.2898729383345726,-9.908571462003641,-10.276052533093011,-6.8126060705112605,9000
9,7.781994416250941,3.70919228720653,3.053500686902354,-23.503229074835392,0.8636022041244872,3.963424207970988,10000
10,12.748242640483074,100.16934087391859,27.911224875079675,51.01764140539258,34.926054608126286,23.647587500251475,11000
11,-25.486959004610735,-18.08472585539216,-41.710741325460305,-27.644105749022003,-25.620166246345228,-29.936098362660843,12000
12,7.8901731436352005,4.622134795272119,-5.639889983536467,-19.44519276667781,12.006262462743377,-0.9781756239440216,13000
13,26.23738100899964,40.28942445697605,10.200723114753865,12.555078839322032,39.78573618506084,189.1028786522173,14000
14,95.96034752533107,134.98860276991505,60.222980419081445,52.27766915638541,88.36244204454307,31.43473015002325,15000
15,66.19223684946344,326.31034850188786,102.75986779005821,81.06243799388074,70.66126342396205,63.92392668606094,16000
16,154.03570392014328,209.59461279914808,59.3752831139057,238.40875262231856,252.67587031661742,360.48923063200357,17000
17,27.200464962240485,44.319151276459465,44.67636774525177,45.454671283639286,44.507278410969384,59.212554156158916,18000
18,22.239757218359102,3.3597731182366424,24.725922660510353,24.340587440175625,21.18294611027887,23.9412752344602,19000
19,5.216221983419951,1.9637165427430932,7.902669689842791,7.151356997063272,10.522639848506262,8.10752059877159,20000
20,-10.5684733355823,-10.224938719149934,-11.512237510923041,-11.72289125567755,-11.913586763105561,-11.57030887318459,21000
21,-6.357555674128831,-6.048704999948959,-6.17285158410945,-6.271085597019144,-5.661651953389109,-6.320947523296838,22000
22,-5.986334032387017,-6.008124720101327,-5.902003331315317,-5.945518451440146,-5.869446216026413,-5.840500155240615,23000
23,-5.701965593011029,-5.647702489349115,-5.672890709704837,-5.6204961900505985,-5.638327273762583,-5.588495156047216,24000
24,-5.483153396563526,-5.5418234850633485,-5.505482422431147,-5.5364377002272205,-5.463367227421358,-5.556887908501823,25000
25,-3.5196489229689023,-3.515856090625307,-3.615694570486015,-3.537966844210893,-3.598062432664606,-3.4599120773710625,26000
26,-6.772596590132443,-6.749050595157444,-6.634997215513796,-6.6416066446713025,-6.655480405994667,-6.705858304195537,27000
27,-3.634365062369313,-3.6260467561140803,-3.732215278225638,-3.6109371996353823,-3.6993303589211886,-3.6725540508729386,28000
28,-4.739591510247824,-4.627986436782175,-4.734720080648455,-3.682454551680768,-5.0889604735740175,-4.281526413428517,29000
29,-8.302510453448317,-7.265865466989962,-8.297239400087298,-7.494799886705515,-7.338069987365669,-7.416892898628031,30000
30,-1.701171459619251,-2.610444020822024,-1.6080538496123375,-2.408282067260666,-3.066203971424212,-2.8347354192030068,31000
31,0.32662915901230016,2.3731878775315938,-0.3527979707438884,-0.06551001644290033,1.9954847469931685,2.7103272686221276,32000
32,2.0037347626094903,5.254104505485007,3.3007578240793096,5.061584647489776,9.299697141955184,2.4970194310288383,33000
33,11.46927204406637,8.883663420805625,17.59190957834714,8.958051757222119,7.01376843635893,18.71641059123539,34000
34,13.550864437771285,12.929834543977334,13.914569555661995,15.553525004614967,14.915374599679732,11.864249062005054,35000
35,40.08830624426111,48.87387396749198,43.13055154865469,51.77766202554538,45.89977135805458,47.51198565996382,36000
36,66.0275722200883,69.38764812855302,64.03039833458166,66.82192483687504,66.04188737168592,65.69022549195323,37000
37,112.45820121046424,108.19297603278896,112.31589430123805,108.74503987837433,107.07427029685594,112.6772534260136,38000
38,45.88947378920145,50.51258184180454,46.569085069873985,52.62978294927092,50.58527599313887,50.63820861938983,39000
39,151.69332678215838,162.37127939611383,155.3521840949066,156.3853919110247,159.44377616714442,151.20592215157734,40000
40,36.44811585819976,41.34067891482508,38.6175962087404,38.9667376143734,39.97437988700981,36.44472163617642,41000
41,52.158294069991726,61.12050049667774,53.7469210167377,57.25651065817176,52.36190015227124,55.19864080146498,42000
42,81.56626135602939,78.1251823212036,78.4204704139616,76.49859517885679,77.33027955933811,75.75649633548224,43000
43,27.212199973067587,30.93703972846942,25.017219040170737,19.399766355795787,20.58094698040407,28.872593767723085,44000
44,168.36391513423402,117.42675765806976,149.49487428697537,133.17606888453793,159.5431130911124,146.8048099021401,45000
45,178.82419841484636,175.3174663993582,169.69000953047058,167.2246160456676,171.94343491696256,173.34371645820553,46000
46,178.92277824535685,175.3144763987358,165.21777834661344,176.93650648974008,180.7828982774488,177.1362623152938,47000
47,152.79308246458356,156.75559960777016,159.9540141591842,153.33215838201838,161.68122578964574,162.08280019464556,48000
48,70.16512897395145,65.55622411831754,71.57122827410271,70.63071193474211,75.04955598464431,79.91915406927588,49000
49,187.98794661814534,176.57481576954396,188.4871435757266,189.48037287282423,177.77477543430905,171.58514789554704,50000
50,52.139047115902486,51.93824144315329,52.29854253922382,57.51477103743115,52.033561762226704,51.205039387680365,51000
51,48.41225520822037,49.38465062389418,38.0180382495656,32.98624447173095,45.7952599486372,32.33744501542655,52000
52,41.7746104213662,41.77050460208767,43.185544278426214,45.85644174556786,40.470415781127784,44.73615608038796,53000
53,56.89725835196666,39.31213538658461,56.86993811894213,45.73222970365319,61.70687714821252,49.313125702529724,54000
54,44.34994085959544,46.0197775049069,47.351377498024526,43.5584816630009,48.03517161405975,53.883479943709574,55000
55,167.00875909924827,193.8640905828953,186.3057728049372,177.24691880665125,174.97729609805418,168.21718125943823,56000
56,134.3487188980489,90.81758985440922,237.60263632061225,109.6784879308671,94.35706584667575,180.63529768479216,57000
57,214.62239786475595,218.3149911551386,170.77903619605607,198.11374852387493,195.69178021494835,176.50571995300047,58000
58,185.95658703934404,182.36761616664828,60.51795361989321,221.1492680778587,194.63107586561648,194.9693591879178,59000
59,185.3988556355474,172.95100226639534,182.43724039363855,193.4670534477684,202.10331699149708,180.54064308819048,60000
60,168.84749909869697,186.7044574147796,189.33750556441836,189.870268577721,174.52857953567585,182.74587795544247,61000
61,191.39564137688646,177.02434249244914,215.49060762242036,183.6500601543668,179.94446758333112,215.26911596625695,62000
62,162.22997535049396,161.8843407492537,160.63936298726315,256.3423115416428,167.63150444060778,278.6679166062595,63000
63,174.83832487645046,177.8838296196994,174.50521966325698,177.59793321155843,175.11643137545107,179.58783804722927,64000
64,181.80277408480774,178.62921691110435,175.90025261334162,175.33732765080947,182.53241336289233,183.12584258595248,65000
