,reward_0,reward_1,reward_2,timestep
0,-423.16343160829564,-222.2900265481353,-226.56909323138314,0
1,-382.27103893073996,-324.75248599825466,-451.7583884205992,1000
2,-291.6805438350348,-348.43481503122814,-220.82866274605237,2000
3,-210.86409376759212,-238.47835184742866,-327.45071147651515,3000
4,-335.82508051025496,-304.8374043178196,-246.45138088747893,4000
5,-435.6519170941473,-248.0731439187667,-165.5866415686048,5000
6,-405.1481065444579,-378.2310708156803,-294.32540908140476,6000
7,-172.0088753345581,-305.5875712372843,-364.614477681481,7000
8,-345.61814044124407,-195.08709053682685,-435.2268030491925,8000
9,-391.802541056121,-260.12039590897825,-319.4868012820145,9000
10,-468.1184892721454,-386.6042722523114,-282.1308389702339,10000
11,-233.12508146212397,-269.417943195524,-394.98605963244125,11000
12,-211.87580813227032,-298.1639776386261,-234.61132588315783,12000
13,-117.9443302784604,-219.95260628518326,-457.5066585258131,13000
14,-211.50081841391892,-239.17982039232416,-154.04083212467896,14000
15,-387.7226257961809,-445.3865426731543,-120.01603961312068,15000
16,-282.6983512892449,-393.6659714099985,-220.77693196175966,16000
17,-150.8128523314171,-360.2556281136927,-297.53395309540815,17000
18,-315.74161265207766,-339.1684877895694,-327.0034094457221,18000
19,-313.5101833752642,-394.1438269625379,-351.4863301008208,19000
20,-279.4223067830084,-199.4644987093076,-264.8836311767623,20000
21,-240.05472281687278,-256.54734265691,-209.0699659353789,21000
22,-317.56343120559836,-152.42888467239248,-398.76229870362005,22000
23,-401.90352542016916,-239.53744134895032,-195.57525083201443,23000
24,-364.1844003287104,-258.52644733185736,-245.67606505976218,24000
25,-259.5493229683024,-185.88656043336422,-263.8232322685953,25000
26,-271.08637138867584,-336.31505342819673,-428.1444196332958,26000
27,-261.5719734796361,-239.7142798609095,-299.8031107519774,27000
28,-206.76816264391252,-287.82067799242714,-280.7318035740457,28000
29,-345.88939242061366,-223.11058878354456,-243.1091312422664,29000
30,-338.773054412795,-263.1516683139704,-273.5537532182335,30000
31,-179.35970854406204,-362.48022610581006,-410.66174410978397,31000
32,-281.8656388767137,-301.77004086561544,-364.0333302171251,32000
33,-183.33009273020792,-172.4049343934497,-288.484996765436,33000
